recId,driverId,frame,precedingId,precedingXVelocity,v,delta_v,s,idm_ga,idm_mle,idm_de,s_star_ga,s_star_mle,s_star_de,XAcceleration
1,11,51,10,23.34,24.47,1.13,12.96,-0.5916,-0.5916,-0.5916,33.7873,33.7873,33.7873,-0.33
1,11,52,10,23.34,24.46,1.12,12.92,-0.5883,-0.5883,-0.5883,33.6013,33.6013,33.6013,-0.34
1,11,53,10,23.33,24.45,1.12,12.86,-0.594,-0.594,-0.594,33.5884,33.5884,33.5884,-0.34
1,11,54,10,23.33,24.43,1.1,12.81,-0.5842,-0.5842,-0.5842,33.2171,33.2171,33.2171,-0.34
1,11,55,10,23.32,24.42,1.1,12.76,-0.589,-0.589,-0.589,33.2043,33.2043,33.2043,-0.34
1,11,56,10,23.31,24.41,1.1,12.7,-0.5948,-0.5948,-0.5948,33.1915,33.1915,33.1915,-0.34
1,11,57,10,23.31,24.39,1.08,12.65,-0.5849,-0.5849,-0.5849,32.821,32.821,32.821,-0.34
1,11,58,10,23.3,24.38,1.08,12.59,-0.5908,-0.5908,-0.5908,32.8084,32.8084,32.8084,-0.34
1,11,59,10,23.3,24.36,1.06,12.54,-0.5808,-0.5808,-0.5808,32.4386,32.4386,32.4386,-0.34
1,11,60,10,23.29,24.35,1.06,12.5,-0.5846,-0.5846,-0.5846,32.4261,32.4261,32.4261,-0.34
1,11,61,10,23.28,24.34,1.06,12.48,-0.5862,-0.5862,-0.5862,32.4136,32.4136,32.4136,-0.34
1,11,62,10,23.27,24.32,1.05,12.44,-0.5823,-0.5823,-0.5823,32.2167,32.2167,32.2167,-0.34
1,11,63,10,23.27,24.31,1.04,12.4,-0.5789,-0.5789,-0.5789,32.0324,32.0324,32.0324,-0.34
1,11,64,10,23.26,24.29,1.03,12.37,-0.5739,-0.5739,-0.5739,31.8359,31.8359,31.8359,-0.34
1,11,65,10,23.25,24.28,1.03,12.33,-0.5777,-0.5777,-0.5777,31.8236,31.8236,31.8236,-0.34
1,11,66,10,23.24,24.27,1.03,12.28,-0.5826,-0.5826,-0.5826,31.8113,31.8113,31.8113,-0.34
1,11,67,10,23.24,24.25,1.01,12.25,-0.5703,-0.5703,-0.5703,31.4438,31.4438,31.4438,-0.34
1,11,68,10,23.23,24.24,1.01,12.21,-0.5741,-0.5741,-0.5741,31.4317,31.4317,31.4317,-0.33
1,11,69,10,23.22,24.23,1.01,12.17,-0.578,-0.578,-0.578,31.4195,31.4195,31.4195,-0.33
1,11,70,10,23.21,24.21,1.0,12.12,-0.5751,-0.5751,-0.5751,31.2241,31.2241,31.2241,-0.33
1,11,71,10,23.2,24.2,1.0,12.08,-0.579,-0.579,-0.579,31.212,31.212,31.212,-0.33
1,11,72,10,23.19,24.19,1.0,12.04,-0.5829,-0.5829,-0.5829,31.1999,31.1999,31.1999,-0.32
1,11,73,10,23.18,24.17,0.99,12.01,-0.5778,-0.5778,-0.5778,31.0049,31.0049,31.0049,-0.32
1,11,74,10,23.18,24.16,0.98,11.96,-0.5754,-0.5754,-0.5754,30.822,30.822,30.822,-0.31
1,11,75,10,23.17,24.15,0.98,11.92,-0.5794,-0.5794,-0.5794,30.8101,30.8101,30.8101,-0.31
1,11,76,10,23.16,24.14,0.98,11.87,-0.5845,-0.5845,-0.5845,30.7982,30.7982,30.7982,-0.31
1,11,77,10,23.15,24.12,0.97,11.82,-0.5816,-0.5816,-0.5816,30.6038,30.6038,30.6038,-0.3
1,11,78,10,23.14,24.11,0.97,11.79,-0.5845,-0.5845,-0.5845,30.5919,30.5919,30.5919,-0.3
1,11,79,10,23.13,24.1,0.97,11.75,-0.5885,-0.5885,-0.5885,30.58,30.58,30.58,-0.29
1,11,80,10,23.12,24.09,0.97,11.71,-0.5926,-0.5926,-0.5926,30.5682,30.5682,30.5682,-0.29
1,11,81,10,23.12,24.08,0.96,11.67,-0.5891,-0.5891,-0.5891,30.386,30.386,30.386,-0.28
1,11,82,10,23.11,24.06,0.95,11.63,-0.5851,-0.5851,-0.5851,30.1923,30.1923,30.1923,-0.28
1,11,83,10,23.1,24.05,0.95,11.58,-0.5904,-0.5904,-0.5904,30.1806,30.1806,30.1806,-0.27
1,11,84,10,23.09,24.04,0.95,11.53,-0.5957,-0.5957,-0.5957,30.1689,30.1689,30.1689,-0.27
1,11,85,10,23.08,24.03,0.95,11.5,-0.5987,-0.5987,-0.5987,30.1572,30.1572,30.1572,-0.26
1,11,86,10,23.07,24.02,0.95,11.45,-0.6042,-0.6042,-0.6042,30.1455,30.1455,30.1455,-0.26
1,11,87,10,23.06,24.01,0.95,11.41,-0.6085,-0.6085,-0.6085,30.1338,30.1338,30.1338,-0.25
1,11,88,10,23.06,24.0,0.94,11.37,-0.605,-0.605,-0.605,29.9523,29.9523,29.9523,-0.24
1,11,89,10,23.05,23.99,0.94,11.33,-0.6093,-0.6093,-0.6093,29.9407,29.9407,29.9407,-0.24
1,11,90,10,23.04,23.98,0.94,11.3,-0.6125,-0.6125,-0.6125,29.929,29.929,29.929,-0.23
1,11,91,10,23.03,23.97,0.94,11.26,-0.6169,-0.6169,-0.6169,29.9174,29.9174,29.9174,-0.22
1,11,92,10,23.02,23.96,0.94,11.23,-0.6201,-0.6201,-0.6201,29.9057,29.9057,29.9057,-0.21
1,11,93,10,23.01,23.95,0.94,11.17,-0.6272,-0.6272,-0.6272,29.8941,29.8941,29.8941,-0.21
1,11,94,10,23.0,23.95,0.95,11.14,-0.6392,-0.6392,-0.6392,30.0634,30.0634,30.0634,-0.2
1,11,95,10,23.0,23.94,0.94,11.1,-0.6356,-0.6356,-0.6356,29.8824,29.8824,29.8824,-0.19
1,11,96,10,22.99,23.93,0.94,11.05,-0.6416,-0.6416,-0.6416,29.8708,29.8708,29.8708,-0.18
1,11,97,10,22.98,23.92,0.94,11.0,-0.6477,-0.6477,-0.6477,29.8592,29.8592,29.8592,-0.17
1,11,98,10,22.97,23.92,0.95,10.97,-0.6601,-0.6601,-0.6601,30.0283,30.0283,30.0283,-0.16
1,11,99,10,22.96,23.91,0.95,10.92,-0.6664,-0.6664,-0.6664,30.0166,30.0166,30.0166,-0.15
1,11,100,10,22.95,23.9,0.95,10.88,-0.6714,-0.6714,-0.6714,30.0049,30.0049,30.0049,-0.14
1,11,101,10,22.94,23.9,0.96,10.83,-0.6871,-0.6871,-0.6871,30.1739,30.1739,30.1739,-0.13
1,11,102,10,22.94,23.89,0.95,10.8,-0.6821,-0.6821,-0.6821,29.9931,29.9931,29.9931,-0.12
1,11,103,10,22.93,23.89,0.96,10.75,-0.698,-0.698,-0.698,30.1621,30.1621,30.1621,-0.11
1,11,104,10,22.92,23.88,0.96,10.71,-0.7033,-0.7033,-0.7033,30.1503,30.1503,30.1503,-0.1
1,11,105,10,22.91,23.88,0.97,10.69,-0.7152,-0.7152,-0.7152,30.3191,30.3191,30.3191,-0.09
1,11,106,10,22.9,23.87,0.97,10.65,-0.7206,-0.7206,-0.7206,30.3073,30.3073,30.3073,-0.07
1,11,107,10,22.89,23.87,0.98,10.63,-0.7327,-0.7327,-0.7327,30.4761,30.4761,30.4761,-0.06
1,11,108,10,22.88,23.87,0.99,10.62,-0.7434,-0.7434,-0.7434,30.6449,30.6449,30.6449,-0.05
