recId,driverId,rmse,error_percent,T,a,b,v0
1,11,12.312248760824952,10.73228041409379,0.5,0.1,5.0,41.667
1,27,0.888555728903669,0.43586757207547305,0.5,0.1,5.0,37.064
1,48,36.11600615967592,17.424380663551435,5.0,0.499,0.1,41.667
1,56,18.65790031429475,9.119571456244092,4.633,0.927,0.104,29.138
1,60,27.118312418085484,13.261014628783467,0.5,2.612,5.0,41.667
1,79,13.551150903274207,6.310268625009223,0.5,5.0,5.0,41.667
1,89,8.472440777523907,4.144932188999354,0.5,1.497,0.361,41.667
1,97,18.449664568039296,9.196191795713029,0.5,5.0,5.0,41.667
1,99,8.641716122266988,4.230868618737431,1.039,5.0,5.0,41.667
1,108,0.5123400436132088,0.25228855913119824,0.519,1.366,3.879,41.303
1,119,38.302540085780194,18.8505955159887,2.801,0.1,5.0,41.667
1,126,16.48028620570398,8.156180031054394,0.5,5.0,5.0,44.888
1,135,9.94458901214856,4.874743762251243,1.96,4.991,1.07,42.861
1,143,3.5652758825816893,1.740030892874771,2.688,5.0,1.472,35.6
1,155,15.03904838153858,7.411419913676423,4.274,5.0,0.755,41.667
1,168,5.773045109177967,2.8073978599628036,1.213,5.0,0.125,41.667
1,188,12.698240917898852,6.2075144722252755,1.153,1.236,1.037,41.667
1,228,94.66029780132745,46.53754914494745,0.881,5.0,3.731,41.667
1,254,2.013412231199724,0.9926304161377552,1.544,1.454,4.556,37.265
1,261,6.287636792494212,3.080010418056704,0.5,0.1,5.0,40.984
1,265,1.5715271841852902,0.7692982080035522,0.684,0.853,5.0,33.3
1,277,1.399420606875316,0.6838871048242501,2.501,2.367,4.626,37.744
1,295,9.755089849327973,4.717732149976005,1.473,1.581,5.0,27.387
1,309,2.2870401086083048,1.1069502111877325,0.855,1.949,4.508,34.939
1,314,9.685804236629277,4.904431863174902,0.5,5.0,5.0,38.472
1,319,1.424742744718389,0.6936338400387015,0.918,0.848,5.0,33.574
1,329,6.143400049787816,2.8832433972617024,0.5,0.1,2.448,32.64
1,378,1.4739468539144969,0.7237581615372864,4.77,0.215,0.86,34.951
1,379,3.3949926781233457,1.6739192865187797,0.984,0.847,4.846,33.465
1,386,4.9395040573177695,2.403414267650869,0.5,5.0,5.0,43.082
1,400,0.8067264107660091,0.39267622971790034,0.59,0.1,4.896,34.82
1,419,3.287718730873169,1.6337591872210906,0.5,0.1,1.125,41.667
1,424,0.25060611016781714,0.12147645061455346,1.362,1.627,4.187,28.632
1,439,0.844000119308509,0.409569387086762,0.5,0.1,5.0,37.378
1,442,1.144214264280919,0.5572605731999237,1.381,1.016,4.215,39.984
1,448,2.1775498930574906,1.0710979842960353,2.203,5.0,0.1,41.759
1,451,9.087304969294909,4.4681898938671205,1.437,0.931,1.385,31.638
1,472,27.416290467550862,13.904601155942268,0.5,3.367,5.0,41.667
1,476,47.51348634229235,23.4326794715215,4.308,1.232,2.772,41.614
1,482,7.189056963711772,3.6766378556660224,0.824,0.414,5.0,40.135
1,484,36.22383169041493,19.23544368198736,0.5,5.0,5.0,41.667
1,497,6.487332061301163,3.2255825830913274,0.5,5.0,5.0,39.754
1,518,10.778147406444655,5.409496955212672,0.827,1.225,3.407,40.55
1,539,8.820605330306567,4.334328941562309,1.547,1.033,0.163,38.193
